handset_type,average_throughput_kbps,average_TCP_retransmission_bytes
Asustek Asus Asus_Z00Ada,13493,1183561
Asustek Asus Za550Kl Zenfone Max M1,17072.2,7414045.654068386
Asustek Asus Zb500Kg,7819,25970
Asustek Asus Zb500Tl,9663,2933971
Asustek Asus Zb552Kl Zenfone Go,8474.285714285714,8991992.544432255
Asustek Asus Zb555Kl Zenfone Max M1,1139,8418
Asustek Asus Zb570Tl,25361.666666666668,339075.3333333333
Asustek Asus Zb633Kl Zenfone Max M2,35189,1123478
Asustek Asus Zc521Tl Zenfone 3S Max,10348,502892
Asustek Asus Zc550Tl,93,20809914.27034193
Asustek Asus Zc553Kl Zenfone 3 Max,12809.4,1547824.2
Asustek Asus Ze500Kl Zenfone 2 Lazer,18096.5,392546.5
Asustek Asus Ze550Kl Zenfone2 Laser,61621,11306
Asustek Asus Zenfone 2 Laser Ze500Kl,21290,14220719.180227952
Asustek Asus Zenfone 3 Deluxe Zs570Kl,43637,1904807
Asustek Asus Zenfone 3 Laser Zc551Kl,13295,15022
Asustek Asus Zenfone 3 Max Zc520Tl,16505.27659574468,6844627.5304910075
Asustek Asus Zenfone 3 Ze520Kl,18274.111111111113,1720609.388888889
Asustek Asus Zenfone 3 Ze552Kl,5723.777777777777,12763245.867891753
Asustek Asus Zenfone 4 Max Zc554Kl,33556.029411764706,17500436.788559586
Asustek Asus Zenfone 4 Selfie Zd553Kl,12496.5,5970431.711723655
Asustek Asus Zenfone 4 Ze554Kl,13091.2,9948599.821653869
Asustek Asus Zenfone 5 Lite Zc600Kl,15070,115269
Asustek Asus Zenfone 5 Ze620Kl,18895.571428571428,8268662.077240551
Asustek Asus Zenfone Go Zb500Kl,18091.933333333334,7418344.556780643
Asustek Asus Zenfone Live Zb501Kl,13666.1,7682219.281102578
Asustek Asus Zenfone Live Zb553Kl,1225,20516
Asustek Asus Zenfone Max Plus Zb570Tl,16693.529411764706,3905657.243245351
Asustek Asus Zenfone Max Pro Zb631Kl,10295,8698930.11264247
Asustek Asus Zenfone Max Zc550Kl,10387.5,10405899.135170965
Asustek Asus Zenfone Selfie Zd551Kl,21097.5,29233844.635170966
Asustek Asus Zenfone Zoom S Ze553Kl,24141,8703907.333333334
Asustek Asus Zenfone Zoom Zx551Ml,12916,2582
Asustek Asus Zenfone2 Laser Ze600Kl,29552,1677202
Asustek Asus Zenfone2 Laser Ze601Kl,7004.25,6084145.567585482
Asustek Asus Zenfone2 Ze551Ml,41420,782275.3333333334
Asustek Asus Zenfone4 Max Zc520Kl,17461.144736842107,6308607.27704117
Asustek Asus Zs620Kl Zenfone 5Z,30377.5,1191369
Asustek Asus_Z00Ad,22780.25,1831775.875
Asustek Asus_Z00D,37547,2648
Asustek Wireless-Ac1200 Lte Router,23275.125,10667109.260170965
Asustek Zc550Kl Zenfone Max,6643.5,10408214.135170965
Asustek Zenfone 4 Selfie Pro,12931.25,5231260.317585482
Asustek Zenfone Max Pro(M1),17882.5,10954681.885170965
Asustek Zenfone Max Zc550Kl,12779.75,6269591.317585482
Avenir Telecom Pm550S,1658,4335.5
Beijing Shenqi T. Z2 Pro,38028,2156184
Bird L8,26273,6071194
Blu Products Inc Blu R1 Plus,3911,1550867
Blu Products Inc Blu Studio C 5+5,1482,3379871
Bullitt Group Li. Cat S30,8984.666666666666,6981290.756780643
Bullitt Group Li. S41,993,20809914.27034193
Bullitt Group Li. S60,5186.666666666667,1442363.3333333333
Bullitt Group Li. S61,5244,20809914.27034193
Casper Bilgisaya. Via M1,7156,276
China Trade Grou. Ed1,14024,770219
Cisco Systems In. Cisco Mc7304,173,20809914.27034193
Civicom Technolo. European,25180,542381
Ck Telecom Limit. M1,410,18595
Compal Electroni. Cat B15Q,6910,9310
Concox Informati. Concox Gt06 Gt06N Tr06,1,20809914.27034193
Concox Informati. Gt06,1,20809914.27034193
Concox Informati. Gt06E Gt06F Gv20,0.5,20809914.27034193
Concox Informati. Jh09,65,7084
Crosscall Action-X3,7658.119565217391,16215129.882802876
Crosscall Action-X3 Pro,13105.75,1330384
Crosscall Core-X3,15881.666666666666,7074298.17344731
Crosscall Odyssey-S1,331.25,10405037.635170965
Crosscall Trekker-M1,17173.25,5842449.067585482
Crosscall Trekker-M1 Core,10486.161458333334,6703660.057032156
Crosscall Trekker-X3,18007.4,3866796.327034193
Crosscall Trekker-X4,16535.863703809526,820797.7142857143
D-Link Corporati. D-Link Dwr-921,18886.75,10236459.505085483
D-Link Corporati. D-Link Lte Usb Adaptor,182.99999999999997,13874154.84689462
D-Link Corporati. Dwr-921,21550.125,11786714.135170965
D-Link Corporati. Dwr-932,602,20809914.27034193
D-Link Corporati. Dwr-953,102,20809914.27034193
Ddm Brands Llc Andy 4.5El Lte,4073.5,12024691.635170965
Ddm Brands Llc Andy 4Ei2,74,10405622.135170965
Ddm Brands Llc Andy 5Ei3,1947.5,67205.5
Ddm Brands Llc Andy 5El Lte,124,54411
Ddm Brands Llc Andy C5V,10518,276
Ddm Brands Llc Energy S550,22973,33928
Ddm Brands Llc Yezz Andy 5.5Ei,4859,7372038
Ddm Brands Llc Yezz Andy A6M,210,20809914.27034193
Dg Homtom Group. Homtom H50,18194.25,15533082.635170965
Dg Homtom Group. Homtom Ht16,593,151294
Dg Homtom Group. Homtom Ht3,22763,149941
Dn Electronics Danew Konnect 350,8838.09090909091,8866252.660940176
Dn Electronics Surnaturel R500,1182.3333333333333,478117.3333333333
Doke Communicati. Blackview Bv6800 Pro,72595,295094
Doro Ab Doro 6520 Doro 6521,43,15608433.202756446
Doro Ab Doro 6530 Doro 6531,43,20809914.27034193
Doro Ab Doro 8030 Doro 8028 Doro 8031,81,20809914.27034193
Doro Ab Doro 8030 Doro 8028 Doro 8031 Doro 8030C Doro 8031C,8647.76923076923,6422987.237028286
Doro Ab Doro 8040,890,1598
Doro Ab Doro Liberto 820,655,35151
Doro Ab Doro Liberto 822 Doro 8031,993,2094
Doro Ab Doro Liberto 825,5440.5,632.5
Doro Ab Doro Phoneeasy 632,44,20809914.27034193
Dynamic Tech Hol. D-Mobile I3 I5 I7 I8 I9,87,102954423.84689462
Ecom Instruments. Ecom Mobile Safety Ex-Handy 209,8187,289833
Ecom Instruments. Ecom Mobile Safety Smart-Ex 201,17128,24274
Electro Depot Fr. W55Hd,13715.6,32870776.108136773
Ertebat Hamrah G. Glx H1,6375.583333333333,10149351.04505699
Essential Produc. Ph-1,23774,3827
Fairphone B.V Fairphone 2,22900.25,453932.25
Fully Holdings (. C8 4G,9624,716530.6666666666
Fully Holdings (. K10,1323,152795
Fully Holdings (. Oukitel C2,21348,17428
Gemalto M2M Gmbh Cinterion Bgs3,3,20809914.27034193
Gemalto M2M Gmbh Cinterion Ehs5-E,18,12
Gemalto M2M Gmbh Cinterion Ehs6,11,20809914.27034193
Gemalto M2M Gmbh Cinterion Pls8-E,30.277777777777775,20809914.27034193
Gemalto M2M Gmbh Cinterion Wireless Module Phs8-P,21,20809914.27034193
Gemalto M2M Gmbh Eu3-E,13,20809914.27034193
Gigaset Communic. Gs100,10071.5,10441923.135170965
Gigaset Communic. Gs185,4585,173005
Google Inc G011C,28478.68197555556,401952
Google Inc Pixel 3,15314.301587301587,11016379.646107063
Google Inc Pixel 3Xl,10388.420493888889,12830048.479768544
Gotron (Hk) Elec. Armor X,15755,128
Gotron (Hk) Elec. Gemini,3231,1217293
Gotron (Hk) Elec. Power 5,43,20809914.27034193
Group Acquisitio. Cirrus 5,9965,699197
Group Acquisitio. Fly Evo Chic 4,88,2660
Haier G50 L54,10865.666666666666,7021404.090113976
Haier Hw-W717 Hw-W816 Hw-W870,109,29835
Haier L55,26010,8810
Haier W826,8616,9452
Hem Easy,9622.57142857143,4909965.895763134
Hewlett-Packard Hp Elite X3,41,20809914.27034193
Hmd Global Oy Nokia 1,394,25679
Hmd Global Oy Nokia 1 Ds,3638.714285714286,19918261.62167281
Hmd Global Oy Nokia 2,34520,7824003
Hmd Global Oy Nokia 2 Ds,7058.166666666667,6964435.92344731
Hmd Global Oy Nokia 3,13949,29248
Hmd Global Oy Nokia 3 Ds,169.5,10968154.976378223
Hmd Global Oy Nokia 3310 Ds 3G,40,20809914.27034193
Hmd Global Oy Nokia 5 Ds,5535.2,6734294.854068386
Hmd Global Oy Nokia 5 Ss,21,20809914.27034193
Hmd Global Oy Nokia 6 Ds,5305,57
Hmd Global Oy Nokia 6 Ss,22591.428571428572,4678964.700787556
Hmd Global Oy Nokia 6.1 Ds,10456.777777777777,6505960.141149104
Hmd Global Oy Nokia 7 Plus Ds,18570.819573535355,6484805.126143498
Hmd Global Oy Nokia 8 Ss,10760,10412444.968504298
Hmd Global Oy Nokia 8110 4G Ds,64,20809914.27034193
Hmd Global Oy Ta-1003,34,20809914.27034193
Hmd Global Oy Ta-1006,36.7,20809914.27034193
Hmd Global Oy Ta-1049,22441,197791
Hmd Global Oy Ta-1063,4290.238050701754,10613602.056223596
Hmd Global Oy Ta-1063 Ds,14995,1959120
Hmd Global Oy Ta-1080,2922.5,12861041.162205156
Hmd Global Oy Ta-1095,22223.5,1357894.75
Hmd Global Oy Ta-1109,10,20809914.27034193
Hong Kong Frog I. A10,162.75,11418842.635170965
Hongkong Ipro Te. Ipro I9350 I9400 S3 Wave 3.5 Wave 4.0,65,20809914.27034193
Honstech Communi. Do G26,4723,6105064
Htc 10,22187.75,2087615
Htc 2Pya210,12741.666666666666,7052553.756780643
Htc 2Q55100,1479,10296
Htc 2Q5V100,34545.5,884743
Htc 2Q5W100,38208,2169
Htc 2Q6E100,44811,1564
Htc Clic100,340,20809914.27034193
Htc Desire,0,20809914.27034193
Htc Desire 10 Lifestyle,37,20809914.27034193
Htc Desire 310,5959,666389
Htc Desire 510,9797.361111111111,10115308.716841897
Htc Desire 530,8348.809523809523,7309119.280590166
Htc Desire 610,7663.333333333333,12260867.157699458
Htc Desire 620,7853.708333333333,7817722.351378224
Htc Desire 626,8656.5,15468753.817585483
Htc Desire 650,15220.25,5573137.067585482
Htc Desire 728,18105,105025
Htc Desire 816,14349.333333333334,13873567.513561286
Htc Desire 820,12267.166666666666,6923531.503390322
Htc Desire 820G Plus Dual Sim,14320,337724
Htc Desire 825,16663.81818181818,6063615.664638707
Htc Desire C,417.25,20809914.27034193
Htc Desire X,213,20809914.27034193
Htc One,4242.8,5782905.205424515
Htc One (M8),4420.5,5329127
Htc One A9,24549.166666666668,7463355.090113976
Htc One M9,17764.2,4923255.2
Htc One Mini,16035,7109
Htc One Mini 2,14751,1966167
Htc Pl80100,330,20809914.27034193
Htc U Play,5713.666666666667,6937203.090113976
Htc U11,1045,83156
Htc Windows Phone 8S By Htc,188,20809914.27034193
Huawei Ale-Ul00,4144.5,10414629.135170965
Huawei Ascend G6,6383,11241510.135170965
Huawei Ascend G620S,12716.333333333334,48453.333333333336
Huawei Ascend Mate7,8998.6,61694.2
Huawei Ascend P7,13442,5072105
Huawei Ascend Y330,2350.3333333333335,4642573.948964873
Huawei Ascend Y530,8769,20809914.27034193
Huawei Ascend Y550,26389.333333333332,6939509.756780643
Huawei Ascend Y600,9385,887218
Huawei Aum-Al00,65466,3430073
Huawei B315S-22,13977.333333333334,10885525.090113977
Huawei B525S-23A,15906.87921766109,19383401.954743393
Huawei B525S-65A,28363,206146.5
Huawei B528S-23A,33218.99454996103,16112406.114498412
Huawei B593,13975,8587175.5
Huawei B593S-12,13341.1875,14465020.885170965
Huawei B593S-22,15943.9724075,11656945.824355077
Huawei B618S-22D,17705.404761904763,9205310.55986774
Huawei B715S-23C,28098.579852333332,20569153.05
Huawei Bkl-Al20,7785.5,3437005.5
Huawei Bkl-Tl10,27473,34853
Huawei Bln-Al10,4626,329064569
Huawei Bln-Al30,7983.25,1349925.625
Huawei Bln-Tl10,22609,786840.5
Huawei Bnd-Al10,23,20809914.27034193
Huawei Chc-U01,9,20809914.27034193
Huawei Col-Al10,31066.666666666668,808295
Huawei Col-L29,9667.940539847494,14117212.806862328
Huawei Cor-L29,11809.683905757576,11135247.240813928
Huawei Dli-Al10,2661,53952
Huawei Dli-L22,8034.489361702128,5991638.084548111
Huawei Dub-Lx1,37.4,20809914.27034193
Huawei E180,16,20809914.27034193
Huawei E3372,201.5,1768
Huawei E5180,25920.6720077257,14723016.257399574
Huawei E5186S,15165.687299892474,14749358.338185169
Huawei E5220S-2,17836,76879
Huawei E5372S-32,21401.654471544716,12767893.484518804
Huawei E5573,27793.878054660192,29905461.13194929
Huawei E5573B,22957.749680284902,20757421.631798286
Huawei E5577,28619.866666666665,40685425.56937893
Huawei E5577 E5577C,26004.105263157893,10993683.309158798
Huawei E5776S-32,27114.083333333332,30661468.120516397
Huawei E5785Lh-22C,24528.398809523813,6015013.46660851
Huawei E5786S-32A Huawei E5786Bs-32A,37499.666666666664,2068519.1666666667
Huawei E587 E587U-2 Turkcell Vinnwifi E587,19545,62432994
Huawei E8372,52735,26366
Huawei Ele-L29,8823.694302843138,14955495.378030451
Huawei Evr-Al00,1257.3333333333333,13912872.180227952
Huawei Evr-L29,36.333333333333336,20809914.27034193
Huawei Fig-Al00,23350,918632
Huawei Fig-Al10,6199,48145
Huawei Fig-La1,37,20809914.27034193
Huawei Fig-Lx1,6342.307107589864,15869950.321686076
Huawei Frd-Al10,10701,749921
Huawei Frd-L09,17461.291666666668,4470384.897528495
Huawei Frd-L19,19837,9687769
Huawei G535-L11,1796,20415255.09011398
Huawei G8 Huawei Gx8 Huawei G7 Plus,6804.5,608328
Huawei Gr5,12305,11934176
Huawei Gr5 2017 Huawei Mate 9 Lite,22537,319674.5
Huawei Ham-L09,22,20809914.27034193
Huawei Hma-L29,16829.162561576355,15179098.399790986
Huawei Honor,20675.235294117647,2506880.1120889937
Huawei Honor 10,10479.078975729166,14592581.956197837
Huawei Honor 5X,17229.09259259259,7323662.043064275
Huawei Honor 6,38825,6586
Huawei Honor 6C Dig-L21Hn,21750.7,5086109.8
Huawei Honor 6X,17922.175,6683984.816568386
Huawei Honor 7A,11681.247368421053,10795323.756078519
Huawei Honor 7S,12507.241666666665,6525943.357217955
Huawei Honor 7X,6787.864907420635,15141890.966426572
Huawei Honor 8 Lite,20258.4,4883615.754068386
Huawei Honor 8X,9249.58990329087,14673625.084368894
Huawei Honor 9 Lite,5589.098146300001,16030686.41498522
Huawei Honor View10,13425.078947368422,11850956.85518296
Huawei Hry-Lx1,7843.069444444444,13848680.3671629
Huawei Hwi-Al00,63237,1240747
Huawei Ine-Lx1,4898.909185333333,17246230.48923935
Huawei Jat-L29,6401.875,10854564.385170965
Huawei Jkm-Lx1,16638,79361
Huawei Jmm-L22 Honor 6C Pro Honor 6C Pro,10727.4,11620670.327034194
Huawei Jsn-Al00A,30537,5411851
Huawei Lld-Al00,8860.15909090909,8285353.41034384
Huawei Lld-Al10,267,15607648.702756446
Huawei Lld-Al30,197,145699
Huawei Lnd-L29,32013.25,7902930.25
Huawei Lya-L29,11316.791365429966,17673442.70739071
Huawei Maimang 6,25303,13787683
Huawei Mate 10 Lite Huawei Nova 2I,10334.210648148148,13290546.057588268
Huawei Mate 10 Pro,7062.694074102565,11397563.376337962
Huawei Mate 10 Pro Porsche Design Huawei Mate 10,10963.46553281127,14114970.529693233
Huawei Mate 20 Lite,9816.472860092592,15412903.869921291
Huawei Mate 8,14417.333333333334,504437.8888888889
Huawei Mate 9,7030.736187222223,16357903.965116812
Huawei Mate 9 Pro Porsche Design Huawei Mate 9,63,20809914.27034193
Huawei Maya,4644.5,10448847.135170965
Huawei Me909S-120,275.3333333333333,39458219.63517097
Huawei Mrd-Lx1,4877.47037037037,17606967.37813806
Huawei Mu609,22,20809914.27034193
Huawei Nexus 6P,111,20809914.27034193
Huawei Nova,20604.716472698412,2413516.393825806
Huawei Nova 2I Huawei Mate 10 Lite,46762,188057
Huawei Nova 3E,13487.24074074074,11412676.063089602
Huawei Nova 3I,2894,10507953.135170965
Huawei Nova 3I Huawei P Smart+,25360,2606374
Huawei P Smart,9273.346153846154,16836317.372199252
Huawei P10,8882.90487652623,15347352.101047937
Huawei P10 Lite,8086.809313061522,14622898.194318574
Huawei P10 Plus,7186.5,13092990.543963706
Huawei P20,10077.71371376261,14880848.930633524
Huawei P20 Lite Huawei Nova 3E,6652.203970936259,16101967.751549417
Huawei P20 Pro,10555.502072417046,14079684.96892669
Huawei P8,22863.625,9203596.408792742
Huawei P8 Lite,14248.166692947203,6709399.827227892
Huawei P8Max,31036,920639
Huawei P9,8663.835772201257,14347155.493921572
Huawei P9 Lite,13448.327334553733,3895092.14445029
Huawei P9 Plus,55713,19563
Huawei Par-Lx9,46464,927530.3333333334
Huawei Pct-L29,9343.499263407406,13859248.750722254
Huawei Pele,76474,4227046
Huawei Plk-L01,20489.375,5714099.831939111
Huawei Porsche Design Huawei Mate Rs,35,20809914.27034193
Huawei Pot-Lx1,6898.1641784022395,15886281.926443586
Huawei Pra-Al00X,6,20809914.27034193
Huawei Rvl-Al09,16681,11167564
Huawei Sla-L22,8628.5,1178731
Huawei Sne-Lx1,11757.523682111112,14124638.219865952
Huawei Stf-Al00,9055.07142857143,15772533.621672807
Huawei Stf-Al10,37,20809914.27034193
Huawei Stf-L09,9635.48941569358,14971243.194442222
Huawei Stf-Tl10,43942,128972
Huawei Tbd,4823.277777777778,16182961.000802504
Huawei Tit-Al00 Huawei Y6 Pro,10397,58168
Huawei U8815,252,602
Huawei U8825-1,19,10407617.135170965
Huawei Vns-Al00,1422,2364
Huawei Vns-Dl00,44366,31920
Huawei Vog-L29,10658.309427651517,13743143.270828832
Huawei Was-Al00,23436.291666666668,3792216.6283903215
Huawei Was-Tl10,3424.5,7280485.256780643
Huawei Y3,1179.4,8375324.708136772
Huawei Y3Ii,8354.666666666666,6950005.756780643
Huawei Y5,2266.5,7002816.1811025785
Huawei Y5 2017,31189,13764
Huawei Y5 2018,8553.19761904762,6938426.64834413
Huawei Y5 Prime 2018,7635,167010
Huawei Y5Ii,6744.804878048781,6552389.011555151
Huawei Y6,247,380537
Huawei Y6 2017 Huawei Nova Young,9999.4,9819917.694619674
Huawei Y6 2017 Huawei Nova Young Huawei Y5 2017,5091.125,6447102.692585482
Huawei Y6 2018,4447.576036991047,15783935.975794626
Huawei Y6 Prime 2018,64615,7502921
Huawei Y6 Pro,3877,1542143
Huawei Y6 Pro 2017 Huawei P9 Lite Mini,1881.5,17512317.635170966
Huawei Y635,2948.285714285714,9819038.973003684
Huawei Y6Ii,10065,10106089
Huawei Y7,20189.5,46545
Huawei Y7 2018,4373.266820987654,15710598.353523595
Huawei Y7 Prime,9304,2246
Huawei Y7 Prime 2018,18392,52527269.5
Huawei Y7 Prime 2018 Huawei Y7 Pro 2018,1426,2390956
Huawei Y9 2019,13300.045926666666,20809914.27034193
Infinix Technolo. Hot 6,1550,1060257
Infinix Technolo. Infinix Hot Note,2709,6518771
Infinix Technolo. Infinix Surf Bravo,5021,185
Infinix Technolo. Note 3 Pro,7930,255420
Infinix Technolo. X511,2491,12011556.635170965
Infocus Corporat. Infocus Vzh,5329,14496553.180227952
Intermec Technol. Series 70 (Cn70 1000Cp01U) (Cn70E 1000Cp02U) (Ck70 1001Cp01U),182.5,20809914.27034193
Itel Technology. S31,298,314053
Itel Technology. S33,8281,6907790
Kapsys Smartvision Kapsys Smartvision By Kapsys Smartconnect,576,34941
Kapsys Smartvision2 Smartconnect2,289,10407605.135170965
Kazam Mobile Lim. Kazam Trooper 451,6,20809914.27034193
Kenxinda V7,2277,1542354
Kenxinda Victor Vm-66 N6000 K6,1948,75734
Kiwip Technologi. Montre Telephone Connectee Kiwip,136,13876379.513561286
Kook (Hong Kong). Teeno T600,7172.8,4409758.4
Kvd Internationa. Doogee Mix,17397,38205.666666666664
Kvd Internationa. Doogee Mix Lite,13118,3533826
Kvd Internationa. Doogee S30,717,20809914.27034193
Kvd Internationa. Doogee S55,7,20809914.27034193
Kvd Internationa. Doogee S55 Lite,50432,84031
Kvd Internationa. Doogee S60,13364,132078
Kvd Internationa. Doogee X10,946.75,31933.5
Kvd Internationa. Doogee X20,6932,539149
Kvd Internationa. Doogee X30,304,108146
Kvd Internationa. Doogee X5,247,1779331
Kvd Internationa. Doogee X5 Max Pro,2049,20809914.27034193
Kvd Internationa. Doogee X50,646,20809914.27034193
Kvd Internationa. Doogee X60L,39366.5,10724025.135170965
Kvd Internationa. Doogee Y6 C,15393,37559
Leagoo Intl Co. . Leagoo Lead 6 Lead 5 Lead 7,2954,140170
Leagoo Intl Co. . Leagoo T5,9124,7360378
Lemobile Informa. Le X527,35272,105885
Lemobile Informa. Le X820,9661,20809914.27034193
Lemobile Informa. Lex622,2081,70824
Lemobile Informa. Lex626,2080,93106
Lemobile Informa. Lex651,3793,8218054
Lemobile Informa. Lex720,44,20809914.27034193
Lenovo A6020A40,211,61888
Lenovo Al12415545,9093.541666666666,5213555.859252149
Lenovo Al12492145,3061,8363376.708136772
Lenovo Bl12416045,9675.034120416667,7752246.0929300375
Lenovo D012064645,27395,595771.75
Lenovo Gl12494745,3213.333333333333,13887331.513561286
Lenovo K Pro,11623.5,10697084.135170965
Lenovo K520,4043,116350
Lenovo K6,7793,58911.5
Lenovo Lc12988845,13817.966666666667,6530800.920735052
Lenovo Lenovo A Plus Lenovo Vibe A Plus,4697,70737.66666666667
Lenovo Lenovo A588T,714,2773914
Lenovo Lenovo A6020A40,14245.833333333334,7297664.92344731
